Test Subject ID,Time,Question,IDE Type,TimeSec,LogTime
V1,3:36.55,C1,IDLE,216.55,2.335558188
V1,3:34.51,D1,IDLE,214.51,2.331447543
V1,1:08.18,N1,IDLE,68.18,1.833656997
V1,1:31.25,C2,PyCharm,91.25,1.960232873
V1,1:58.00,D2,PyCharm,118,2.071882007
V1,0:22.21,N2,PyCharm,22.21,1.346548559
V1,3:56.52,C3,VSCode,236.52,2.37386787
V1,0:44.40,D3,VSCode,44.4,1.64738297
V1,0:11.59,N3,VSCode,11.59,1.064083436
J1,10:36.81,C1,IDLE,636.81,2.804009875
J1,2:29.15,D1,IDLE,149.15,2.173623258
J1,3:00.61,N1,IDLE,180.61,2.256741793
J1,3:51.03,C2,VSCode,231.03,2.363668378
J1,2:11.15,D2,VSCode,131.15,2.117768295
J1,7:42.99,N2,VSCode,462.99,2.665571611
J1,1:44.73,C3,PyCharm,104.73,2.020071104
J1,9:23.57,D3,PyCharm,563.57,2.750947867
J1,1:20.42,N3,PyCharm,80.42,1.905364069
J2,1:19.56,C1,IDLE,79.56,1.900694774
J2,2:15.07,D1,IDLE,135.07,2.1305589
J2,6:29.44,N1,IDLE,389.44,2.590440557
J2,1:26.10,C2,VSCode,86.1,1.935003151
J2,2:24.00,D2,VSCode,144,2.158362492
J2,0:24.27,N2,VSCode,24.27,1.385069776
J2,6:36.21,C3,PyCharm,396.21,2.597925433
J2,0:36.93,D3,PyCharm,36.93,1.567379308
J2,0:21.73,N3,PyCharm,21.73,1.337059726
J3,1:42.28,C1,IDLE,102.28,2.009790719
J3,1:09.13,D1,IDLE,69.13,1.839666557
J3,0:31.28,N1,IDLE,31.28,1.495266744
J3,3:26.40,C2,VSCode,206.4,2.314709693
J3,0:02.01,D2,VSCode,2.01,0.3031960574
J3,0:10.09,N2,VSCode,10.09,1.003891166
J3,2:19.29,C3,PyCharm,139.29,2.143919938
J3,3:01.36,D3,PyCharm,181.36,2.258541507
J3,6:29.94,N3,PyCharm,389.94,2.590997787
M1,6:10.23,C1,IDLE,370.23,2.568471607
M1,0:59.44,D1,IDLE,59.44,1.774078801
M1,0:34.02,N1,IDLE,34.02,1.531734309
M1,17:52.87,C2,VSCode,1072.87,3.030547102
M1,1:22.08,D2,VSCode,82.08,1.914237348
M1,1:19.39,N2,VSCode,79.39,1.899765802
M1,2:34.38,C3,PyCharm,154.38,2.188591037
M1,8:17.03,D3,PyCharm,497.03,2.696382603
M1,1:12.74,N3,PyCharm,72.74,1.861773297
K1,0:36.36,C1,VSCode,36.36,1.560623875
K1,1:17.62,D1,VSCode,77.62,1.889973638
K1,0:10.84,N1,VSCode,10.84,1.035029282
K1,1:31.16,C2,PyCharm,91.16,1.959804317
K1,2:48.08,D2,PyCharm,168.08,2.225516039
K1,1:30.76,N2,PyCharm,90.76,1.957894487
K1,1:41.10,C3,IDLE,101.1,2.004751156
K1,3:03.92,D3,IDLE,183.92,2.264628958
K1,0:12.69,N3,IDLE,12.69,1.103461622
K2,9:01.02,C1,PyCharm,541.02,2.73321332
K2,0:12.32,D1,PyCharm,12.32,1.090610708
K2,0:18.84,N1,PyCharm,18.84,1.275080898
K2,1:20.16,C2,IDLE,80.16,1.903957709
K2,1:09.78,D2,IDLE,69.78,1.843730965
K2,0:08.29,N2,IDLE,8.29,0.9185545306
K2,0:43.06,C3,VSCode,43.06,1.634074025
K2,0:56.78,D3,VSCode,56.78,1.754195388
K2,0:21.31,N3,VSCode,21.31,1.32858345
C1,3:11.73,C1,VSCode,191.73,2.282690072
C1,0:51.99,D1,VSCode,51.99,1.715919817
C1,3:09.11,N1,VSCode,189.11,2.276714495
C1,2:18.41,C2,PyCharm,138.41,2.141167469
C1,0:31.52,D2,PyCharm,31.52,1.498586209
C1,0:22.70,N2,PyCharm,22.7,1.356025857
C1,1:27.52,C3,IDLE,87.52,1.942107309
C1,1:54.71,D3,IDLE,114.71,2.05960128
C1,1:13.07,N3,IDLE,73.07,1.863739107
D1,19:19.19,C1,IDLE,1159.19,3.064154626
D1,1:44.88,D1,IDLE,104.88,2.020692679
D1,1:44.00,N1,IDLE,104,2.017033339
D1,5:57.00,C2,VSCode,357,2.552668216
D1,5:20.42,D2,VSCode,320.42,2.505719616
D1,2:39.67,N2,VSCode,159.67,2.203223325
D1,11:49.92,C3,PyCharm,709.92,2.851209411
D1,0:31.43,D3,PyCharm,31.43,1.497344381
D1,1:26.61,N3,PyCharm,86.61,1.937568039
J4,2:19.50,C1,VSCode,139.5,2.144574208
J4,0:52.76,D1,VSCode,52.76,1.722304787
J4,1:21.51,N1,VSCode,81.51,1.911210893
J4,1:58.82,C2,IDLE,118.82,2.074889548
J4,0:21.11,D2,IDLE,21.11,1.324488233
J4,0:32.43,N2,IDLE,32.43,1.510946949
J4,1:14.18,C3,PyCharm,74.18,1.870286829
J4,3:31.17,D3,PyCharm,211.17,2.32463222
J4,0:36.07,N3,PyCharm,36.07,1.557146142
A1,1:16.25,C1,VSCode,76.25,1.882239848
A1,1:06.80,D1,VSCode,66.8,1.824776462
A1,1:30.2,N1,VSCode,90.2,1.955206538
A1,3:00.20,C2,IDLE,180.2,2.255754787
A1,1:00.25,D2,IDLE,60.25,1.779957051
A1,1:15.00,N2,IDLE,75,1.875061263
A1,1:30.00,C3,PyCharm,90,1.954242509
A1,2:30.15,D3,PyCharm,150.15,2.176525337
A1,0:53.90,N3,PyCharm,53.9,1.731588765
B1,1:42.30,C1,VSCode,102.3,2.009875634
B1,1:21.21,D1,VSCode,81.21,1.90960951
B1,1:53.20,N1,VSCode,113.2,2.053846427
B1,2:21.01,C2,IDLE,141.01,2.149249913
B1,1:12.21,D2,IDLE,72.21,1.858597345
B1,1:18.12,N2,IDLE,78.12,1.892762235
B1,1:43.12,C3,PyCharm,103.12,2.013342904
B1,2:46.45,D3,PyCharm,166.45,2.221283799
B1,1:00.75,N3,PyCharm,60.75,1.783546282
Z1,1:55.55,C1,VSCode,115.55,2.06276995
Z1,1:33.21,D1,VSCode,93.21,1.969462508
Z1,2:12.74,N1,VSCode,132.74,2.123001813
Z1,2:43.56,C2,IDLE,163.56,2.213677102
Z1,1:33.21,D2,IDLE,93.21,1.969462508
Z1,1:51.23,N2,IDLE,111.23,2.046221937
Z1,1:45.21,C3,PyCharm,105.21,2.022057021
Z1,2:23.42,D3,PyCharm,143.42,2.156609718
Z1,1:12.50,N3,PyCharm,72.5,1.860338007
X1,1:30.52,C1,VSCode,90.52,1.956744545
X1,1:23.11,D1,VSCode,83.11,1.919653282
X1,2:01.41,N1,VSCode,121.41,2.084254459
X1,2:33.45,C2,IDLE,153.45,2.185966893
X1,1:52.32,D2,IDLE,112.32,2.050457095
X1,1:49.13,N2,IDLE,109.13,2.037944155
X1,1:57.21,C3,PyCharm,117.21,2.068964666
X1,2:55.55,D3,PyCharm,175.55,2.244400834
X1,1:13.11,N3,PyCharm,73.11,1.863976784
Y1,2:10.11,C1,VSCode,130.11,2.114310677
Y1,1:56.83,D1,VSCode,116.83,2.067554377
Y1,2:23.53,N1,VSCode,143.53,2.156942685
Y1,1:53.45,C2,IDLE,113.45,2.0548045
Y1,1:22.11,D2,IDLE,82.11,1.914396052
Y1,1:11.02,N2,IDLE,71.02,1.851380668
Y1,2:07.31,C3,PyCharm,127.31,2.104862518
Y1,2:45.02,D3,PyCharm,165.02,2.217536583
Y1,1:45.23,N3,PyCharm,105.23,2.02213957
Q1,2:21.21,C1,VSCode,141.21,2.149865453
Q1,2:03.45,D1,VSCode,123.45,2.091491094
Q1,2:11.31,N1,VSCode,131.31,2.118297801
Q1,1:53.45,C2,IDLE,113.45,2.0548045
Q1,1:02.01,D2,IDLE,62.01,1.792461731
Q1,1:22.43,N2,IDLE,82.43,1.9160853
Q1,2:17.42,C3,PyCharm,137.42,2.138049944
Q1,2:55.22,D3,PyCharm,175.22,2.243583676
Q1,1:56.87,N3,PyCharm,116.87,2.067703044